species	accession
Agelas_conifera	GCA_965122385.1
Amphimedon_queenslandica	GCA_016292275.1
Aplysina_aerophoba	GCA_949841015.1
Axinella_damicornis	GCA_963931865.1
Callyspongia_manus	GCA_965112345.1
Cliona_orientalis	GCA_963930775.1
Corbitella_plagiariorum	GCA_965278765.1
Corticium_candelabrum	GCA_963422355.1
Crambe_crambe	GCA_963924555.1
Cymbastela_concentrica	GCA_965112925.1
Diacarnus_erythraeanus	GCA_964016965.1
Dysidea_avara	GCA_963678975.2
Ephydatia_muelleri	GCA_049114765.1
Halisarca_caerulea	GCA_963170055.1
Ianthella_basta	GCA_964019415.1
Lycopodina_hypogea	GCA_963969325.1
Penares_turmericolor	GCA_965152365.1
Petrosia_crassa	GCA_965785925.1
Phyllospongia_foliascens	GCA_964212625.1
Pleroma_turbinatum	GCA_965278755.2
Rhabdastrella_globostellata	GCA_964261875.1
Rhopaloeides_odorabile	GCA_964237215.1
Spheciospongia_papillosa	GCA_965235015.2
Spongia_officinalis	GCA_964213935.1
Spongilla_lacustris	GCA_949361645.1
Sycon_ciliatum	GCF_964019385.1
Tethya_wilhelma	GCA_964030475.1
Thenea_valdiviae	GCA_964340815.1
Theonella_swinhoei	GCA_963970385.1
Xestospongia_muta	GCA_963693285.1
